employment_length,probability,id,employer_title,home_ownership,annual_income
10.0,0.23737676,1063518,us air force,mortgage,51600.0
1.0,0.20352288,1063515,fairmont hotel,rent,38500.0
1.0,0.17271137,1063524,beckman coulter,rent,75000.0
10.0,0.38781044,1063519,applied industrialtechnoliges,mortgage,37320.0
10.0,0.32850778,1063521,,rent,55000.0
2.0,0.2481011,984879,cisco system inc.,rent,100000.0
10.0,0.3956998,1063509,colorado department of public safety,mortgage,70000.0
3.0,0.21284947,1063693,macys,rent,68000.0
10.0,0.37769616,1063700,catholic healthcare west,mortgage,66000.0
8.0,0.17021744,1056934,jpmorgan chase,rent,85000.0
1.0,0.18141621,1063246,chase bank,rent,83004.0
1.0,0.23810495,1057424,"gugino & mortimer, plc",rent,51000.0
10.0,0.22126248,1063680,contractor's cargo,rent,55000.0
10.0,0.35555694,1063679,bank of america,mortgage,47000.0
3.0,0.24735315,1063034,companion hospice,rent,86000.0
10.0,0.3980755,1063448,regent care center,own,48000.0
10.0,0.29070717,1063431,,rent,49000.0
10.0,0.23426168,1060804,roth marz partnership,mortgage,85000.0
5.0,0.16615182,1027771,little rock convention & visitors bureau,mortgage,50000.0
10.0,0.14601585,1063653,hudson national golf club,rent,105000.0
10.0,0.17784294,1063421,st. johnland,rent,51204.0
10.0,0.19637243,1062855,3 mile harbor boatyard,rent,42996.0
10.0,0.2707043,1062490,,rent,60000.0
10.0,0.37675026,1063626,the community college of baltimore count,mortgage,85000.0
3.0,0.23398739,1063407,everest entertainment,mortgage,120000.0
10.0,0.3848617,1063609,special programming for achievement netw,own,62691.0
10.0,0.25375015,1063602,akzo nobel,mortgage,36000.0
10.0,0.2545409,1063393,the crexent business centers,own,85000.0
10.0,0.1652581,1063388,pasadena city college,rent,49668.0
2.0,0.17888053,1063582,harrah's resort,rent,30000.0
10.0,0.2956595,988402,cnmi government,own,40000.0
10.0,0.3384676,1063564,kraft foods,mortgage,40000.0
10.0,0.22818443,1063121,weiss memorial hospital,mortgage,100000.0
10.0,0.17806844,1063275,"j. chapman inspections, inc.",rent,56312.0
10.0,0.26837245,1057756,us postal service,rent,54011.0
10.0,0.23567149,1059960,bank of america,rent,49110.32
3.0,0.21514389,1059525,hawaiian airlines,rent,75000.0
8.0,0.52290213,1062577,mckinstry co.,mortgage,95000.0
3.0,0.26510257,1053188,uw healthpartners,rent,80000.0
10.0,0.19419008,1063098,pala casino and resort,mortgage,55000.0
8.0,0.31614542,1063238,herson's kia,rent,90000.0
3.0,0.18948843,1062043,ourisma fairfax toyota,rent,68500.0
4.0,0.30739698,1063228,cloudmark,rent,100000.0
10.0,0.26640242,1039993,bluecross blueshield of tn,mortgage,72000.0
6.0,0.16362734,1063197,good samaritan hospital,rent,70000.0
1.0,0.16048753,1063069,showboat casino,rent,37000.0
10.0,0.22495602,1063062,simmons first national.com,own,75000.0
1.0,0.20709199,1063199,us bank,mortgage,75000.0
10.0,0.15763192,1063187,harrahs las vegas,rent,39000.0
10.0,0.23563649,1063040,chase investments services corp.,rent,60000.0
10.0,0.19368953,1063020,seminole hard rock,rent,68000.0
10.0,0.27154127,1062929,bmw of murray,mortgage,110000.0
1.0,0.17359124,1063003,lawrence hospital,rent,40000.0
3.0,0.21070999,1063001,tian shan trading,own,31000.0
10.0,0.28601205,1062997,hudson hotel,rent,60000.0
3.0,0.18578675,1061315,kaiser permanente,rent,43000.0
1.0,0.2246092,1062808,nihfcu,rent,42000.0
1.0,0.24630484,1062918,publix,rent,30000.0
10.0,0.18926692,1062983,bay area women's care,mortgage,50000.0
1.0,0.1401492,1061530,superhero graphics,mortgage,39396.0
7.0,0.49555025,1035958,dst inc,own,98000.0
10.0,0.23019475,1062894,saint francis health system,rent,62500.0
10.0,0.15886642,1062895,waterstone mortgage corp.,mortgage,95000.0
4.0,0.21500865,1062976,newell rubbermaid inc,rent,45000.0
10.0,0.19314304,1061972,lakeshore,rent,32400.0
10.0,0.31033036,1062897,,mortgage,37800.0
10.0,0.15494396,1062857,drexel university,rent,50000.0
10.0,0.4312459,1059828,rallye bmw,mortgage,114996.0
10.0,0.24765685,1059486,carefusion,rent,54400.0
10.0,0.17794614,1062887,ibm,mortgage,72800.0
1.0,0.16256833,1062851,dow networks,rent,42500.0
10.0,0.2536586,1062756,garren new york,rent,61000.0
3.0,0.2959214,1062844,tr furniture,rent,28000.0
4.0,0.20826261,1062753,oppenheimer & co inc,own,120000.0
8.0,0.49004626,1062873,pulte homes,mortgage,96000.0
3.0,0.2501399,1062860,volt,rent,83200.0
8.0,0.21214372,1062738,"southwest pumps and filters, inc.",rent,45000.0
5.0,0.15542914,1062864,department of defense,rent,68809.0
3.0,0.2527979,1062734,myrvpartsplace.com,rent,75000.0
1.0,0.16663384,1052370,miller & wright architects,rent,52000.0
10.0,0.23465672,1058564,together we grow,rent,57600.0
4.0,0.19901703,1062584,exact software north america,rent,48500.0
4.0,0.19469047,1062253,ultimo software solutions inc,rent,95000.0
10.0,0.21970694,1062795,navteq,rent,58000.0
10.0,0.32755876,1062614,,mortgage,24000.0
10.0,0.16354175,1061378,tektonics design group,mortgage,58000.0
10.0,0.2339775,1062781,,mortgage,70000.0
10.0,0.29504994,1023158,mercury computer sys,mortgage,104000.0
4.0,0.22837609,1062654,aeg live,rent,35000.0
10.0,0.24135558,1062665,bg manufacturing,rent,53000.0
3.0,0.15154627,1062555,vogue beauty salon,rent,28000.0
10.0,0.2394784,1062606,north fork holdings,mortgage,118000.0
10.0,0.16030659,1062643,sunday night life,rent,40000.0
10.0,0.27340823,1062535,,mortgage,42000.0
10.0,0.3455707,1062536,port of everett,mortgage,65000.0
1.0,0.26530486,765927,hoel palomar,rent,25000.0
1.0,0.23318948,1031451,kaiser permanente,mortgage,36000.0
4.0,0.19285986,1062612,kwikmen trucking,rent,45000.0
1.0,0.34020132,1062510,comcast,mortgage,231252.0
10.0,0.22671477,1062508,dune management,rent,65000.0
7.0,0.3661765,1036838,,mortgage,32000.0
8.0,0.5122087,1062478,marist school,mortgage,84996.0
6.0,0.20374285,1055974,nw portland area indian health board,rent,66000.0
2.0,0.17372842,1062462,heritage properties inc.,mortgage,92000.0
6.0,0.20304471,1062458,owens illinois,rent,70000.0
10.0,0.2247329,1062454,allied waste,mortgage,49000.0
8.0,0.46988696,1060762,miami-dade county,mortgage,76896.0
2.0,0.3892288,1062564,self employed,rent,24000.0
10.0,0.20908606,1061570,harmony school of excellence,rent,60000.0
10.0,0.22876827,1062418,,mortgage,120000.0
10.0,0.17392503,1062413,austin powder company,mortgage,57000.0
1.0,0.21569473,1062330,bci,mortgage,80000.0
6.0,0.26736167,1062414,clarks co. north america,mortgage,85000.0
10.0,0.4450087,1060966,inspectorate,own,140000.0
10.0,0.16428843,1062401,daja ventures,own,36000.0
1.0,0.1815321,1057454,jpmorgan chase,rent,70000.0
4.0,0.2743784,1062179,"manhattan center studios, inc.",rent,51360.0
2.0,0.2476479,1062293,f5 networks inc,rent,163000.0
10.0,0.16772744,1062384,portland public schools,mortgage,59393.0
4.0,0.16526383,1031348,h. lee moffitt cancer center,mortgage,65000.0
3.0,0.42645192,1062268,state of texas,rent,29772.96
1.0,0.2733941,1062161,target,own,12996.0
1.0,0.2439901,1061409,univeristy of phoenix,own,44475.0
10.0,0.40124276,1061705,goodyear,mortgage,88000.0
4.0,0.17454527,1062146,investigroup,rent,85000.0
10.0,0.1792566,1058699,easter seals north ga,mortgage,36000.0
3.0,0.18474653,1062150,juniper networks,rent,117000.0
2.0,0.2618748,1062257,grace & growth family services,rent,160000.0
1.0,0.1873779,1061420,bethesda memorial hospital,rent,80000.0
3.0,0.33428234,1062250,fedex office,rent,28000.0
5.0,0.2120619,1020855,henkel corporation,rent,48000.0
2.0,0.2268549,997521,state of michigan,mortgage,60000.0
10.0,0.18835467,1058624,university of central florida,rent,40000.0
10.0,0.15813687,1062232,georgia institute of technology,rent,45500.0
6.0,0.2843619,1062235,,mortgage,156000.0
1.0,0.19584922,1060429,premier salons,rent,40000.0
10.0,0.21716568,1062102,village of hawthorn woods,mortgage,96000.0
10.0,0.4009373,1060630,shell oil,mortgage,80000.0
6.0,0.27872747,1062192,usps,mortgage,110000.0
10.0,0.20077284,1059016,university health services,rent,59400.0
10.0,0.4208409,1056174,visa inc,mortgage,106000.0
10.0,0.17004752,1062045,cablevision,rent,36000.0
1.0,0.18012212,1059395,tylin international,rent,51000.0
2.0,0.34589866,1062012,european service at home,rent,25000.0
4.0,0.14524621,1061941,let's insure,rent,35000.0
1.0,0.36624706,1031266,90 miles cuban cafe,rent,33000.0
10.0,0.21925613,1061975,mercy san juan medical center,mortgage,93000.0
6.0,0.28195727,1061914,jpmorgan chase,rent,85000.0
1.0,0.15388487,1061750,moss & company,rent,50000.0
2.0,0.21260351,1061741,garden of eden,rent,41000.0
10.0,0.1534763,1061747,smashbox cosmetics,rent,50000.0
1.0,0.33654916,1040188,university,rent,30000.0
5.0,0.23265366,1057749,may trucking,rent,57000.0
1.0,0.16247231,1061721,giant eagle,rent,110000.0
7.0,0.17209795,1061869,hammer creative,rent,50132.0
6.0,0.18833339,1060650,state of north carolina,mortgage,62500.0
10.0,0.21535137,1059701,union pacific railroad,rent,60000.0
1.0,0.2897595,1061842,medicis,rent,130000.0
10.0,0.29580206,1061837,applied development companies,rent,60000.0
5.0,0.29389057,1057272,snow college,mortgage,65000.0
3.0,0.2734929,1061675,mckesson corporation,mortgage,67735.0
10.0,0.19477874,1061661,ultratech inc,rent,47800.0
1.0,0.31223908,1061656,sdgin,mortgage,99600.0
10.0,0.16885523,1061776,western wyoming community college,mortgage,54000.0
10.0,0.16068548,1061767,studio instrument rentals,rent,49000.0
1.0,0.33913285,1052746,hyatt hotel,rent,33996.0
10.0,0.33230916,1061643,u.s.postal service,rent,65000.0
4.0,0.26458815,1061785,us navy,rent,44160.0
1.0,0.18206143,1061623,costco,rent,32000.0
1.0,0.22430508,1030795,northwestern mutual,mortgage,94500.0
3.0,0.27462882,1061598,jc penney,rent,19498.0
1.0,0.31064764,1061772,mayo primary care center,rent,30000.0
8.0,0.1646539,1058931,united lighting & electrical group,mortgage,88000.0
4.0,0.21172675,1061355,staff die cutting llc,rent,45000.0
1.0,0.28929484,1061593,rescare,rent,37500.0
10.0,0.19642407,1061581,sarasota memorial hospital,mortgage,89000.0
4.0,0.19620737,1061583,"guidant group, inc.",rent,120000.0
4.0,0.15610123,1059572,antico stone,rent,35000.0
10.0,0.21917556,1053004,washington university st louis,mortgage,50000.0
1.0,0.16986117,1061496,oswego county opportunities,rent,30000.0
1.0,0.3067106,1051434,university of minnesota,rent,25279.67
1.0,0.18384327,1058174,usairways inc.,rent,29000.0
10.0,0.21142955,1061547,bell and howell,rent,65000.0
1.0,0.15932985,1061317,east side clinical lab,rent,30000.0
3.0,0.16435705,1061306,clark county fire dept.,rent,68000.0
1.0,0.29108113,1061515,indsoft,rent,90000.0
10.0,0.28136268,1058858,,mortgage,58600.0
1.0,0.21238503,1051045,united parcel service,own,50000.0
10.0,0.27562726,1060415,los angeles unified school district,rent,85000.0
4.0,0.31667176,1061279,oscar inc,rent,45000.0
7.0,0.16301711,1058942,autism speaks,mortgage,44004.0
1.0,0.22325835,1042958,carolinas medical center,mortgage,84996.0
1.0,0.16000977,1061251,artisan digital,rent,33000.0
5.0,0.3101118,1058015,state of ct dept of corrections/parole,mortgage,60000.0
1.0,0.2878056,1059858,rove pest control,own,19200.0
10.0,0.28798875,1061247,pace collision,rent,62000.0
1.0,0.22490929,1061250,hartz mountain corportaion,rent,38500.0
3.0,0.1908972,1061245,,rent,68000.0
1.0,0.35572574,1060411,medical associates of brevard,rent,30000.0
10.0,0.21357095,1061416,shine electronics inc,rent,50000.0
2.0,0.2845164,1040053,texas a&m university,rent,23000.0
10.0,0.30967113,1061227,u.s. army,rent,50400.0
6.0,0.24348092,1061403,kaiser permanente,rent,110000.0
1.0,0.21319345,1061413,bisso marine,rent,40000.0
10.0,0.26880023,1061202,new york state insurance fund,rent,83954.0
10.0,0.2291375,1061204,yh america inc.,rent,35000.0
10.0,0.21653105,1061380,sunnyside farms,rent,60000.0
1.0,0.23664898,1061193,banfield pet hospital,rent,40000.0
10.0,0.18306059,1051953,adams county human services department,rent,42336.0
10.0,0.30261356,1061194,,own,41100.0
1.0,0.20643541,1060945,axa assistance,rent,92000.0
2.0,0.16891867,1057719,global profit technologies inc.,rent,75000.0
10.0,0.43363172,1059906,state of ca.,rent,90000.0
4.0,0.22381085,1061383,forsyth county sheriff's office,mortgage,45000.0
8.0,0.20800616,1050511,department of defense,rent,48000.0
6.0,0.22845922,1061175,cui inc,mortgage,110000.0
1.0,0.34239984,1061122,nueces county dept. human services,rent,30600.0
4.0,0.28452483,1061095,hms host,rent,69000.0
4.0,0.23189564,1061164,david sparks dds,rent,45000.0
1.0,0.26831016,1060436,lowes,rent,27500.0
10.0,0.42086396,1061133,curry auto,mortgage,150500.0
1.0,0.16972801,1060855,target corporation,rent,32000.0
10.0,0.21634153,1058477,adams and associates,rent,37500.0
1.0,0.29391238,1060995,hsa-uwc,rent,60000.0
10.0,0.17517176,1061135,eq cargo and trading corp,rent,33000.0
10.0,0.26500735,1059939,medical center of center of central ga,rent,70000.0
9.0,0.19960277,1060951,"kofsky, hartman & weinger, pa",rent,75000.0
1.0,0.381237,1046507,child's day,rent,16800.0
1.0,0.28438684,1060880,university of chicago,rent,38000.0
2.0,0.22043954,1060934,chrysalis inc.,own,35000.0
8.0,0.2499075,1061128,appsense inc.,mortgage,95000.0
10.0,0.24127035,1061130,gannett publishing services,mortgage,77400.0
1.0,0.21882907,1061126,"crowe horwath, llp",rent,61000.0
10.0,0.23305625,1056057,queens college cuny,rent,70000.0
10.0,0.2794503,1060895,johns hopkins / applied physics lab,rent,67000.0
1.0,0.31826255,1061106,cargill,mortgage,90000.0
10.0,0.1925163,1060925,ping identity,own,140000.0
10.0,0.2719106,1045240,arc of rockland,own,55000.0
1.0,0.28677073,1024951,the windmill,rent,32400.0
4.0,0.16537434,1061070,federal bureau of prisons,rent,50000.0
6.0,0.14559275,1061060,general motors,mortgage,70000.0
10.0,0.32121927,1055190,,own,35000.0
10.0,0.33519465,1060848,,mortgage,46212.0
2.0,0.27356827,1053622,,rent,43000.0
10.0,0.25978833,1060865,daimler trucks north america,mortgage,140000.0
10.0,0.3020269,1051018,army national guard,mortgage,115000.0
1.0,0.19102694,1059259,6th avenue outfitters,rent,45000.0
10.0,0.17162703,1060853,city of anaheim,rent,95000.0
10.0,0.19820899,1060831,blank rome llp,mortgage,235000.0
10.0,0.20562467,1058228,peak security inc,rent,36000.0
1.0,0.23675379,1060841,the bridge assisted living,rent,26000.0
3.0,0.33441257,1056914,northwestern mutual,rent,80000.0
10.0,0.22951713,1060794,converse,rent,50000.0
10.0,0.28894162,1061003,new york roofing co,rent,55000.0
5.0,0.19250037,1061008,blue cross blue shield of massachusetts,mortgage,55000.0
10.0,0.2160155,1060779,new york city department of correction,rent,64424.0
10.0,0.2956929,1060993,burger bros/burger king franchise,rent,56000.0
1.0,0.17631929,1060553,safco capital corporation,rent,30000.0
10.0,0.18011066,1058200,internal revenue service,mortgage,111740.0
10.0,0.1637268,1060544,mens  wearhouse,rent,67500.0
1.0,0.27719638,1060979,the m&a advisor,rent,41000.0
10.0,0.26881266,1060698,"antigen express inc.,",rent,120000.0
10.0,0.17333962,1060970,las nenas fashion,rent,30000.0
10.0,0.19349872,1060760,hartford hospital,rent,41500.0
10.0,0.25957727,1060753,exclusive autoline inc,rent,60000.0
10.0,0.4386452,1060559,bank of america,mortgage,75000.0
10.0,0.25282082,1060696,diocese of florida,rent,80000.0
10.0,0.20124075,1060735,calvary assembly of god,rent,42000.0
10.0,0.1650824,1060720,fletcher's plumbing & contracting inc.,mortgage,41600.0
10.0,0.23087323,1060558,bergen family center,rent,48000.0
8.0,0.44927868,1060731,morganam@t,mortgage,50000.0
10.0,0.18758121,1060536,rupp baase pfalzgraf cunningham & coppol,rent,70000.0
2.0,0.30821675,1060721,prime inc,rent,53000.0
10.0,0.18753244,1060527,exsilen usa,mortgage,65000.0
1.0,0.20454213,1060714,gannett healthcare group,rent,85000.0
10.0,0.3131614,1060508,bottomley distributing,rent,55000.0
10.0,0.37798,1059582,st. vincent hospital,rent,36000.0
1.0,0.3377544,1060481,kendall regional medical center,rent,26000.0
6.0,0.24950193,1052346,st.bernard hospital,rent,70000.0
10.0,0.20501643,1054397,ny dept of sanitation,rent,80000.0
10.0,0.1589348,1055294,porsche cars north america,mortgage,80000.0
10.0,0.3071561,1060485,,mortgage,45696.0
2.0,0.19443308,1060697,credit suisse,mortgage,100000.0
10.0,0.21609542,1060670,altria,rent,62000.0
10.0,0.17571893,1060452,crothall health groups,rent,50000.0
1.0,0.2522179,1051471,golden living summitt,own,66000.0
10.0,0.3687561,1059954,at&t,own,80000.0
10.0,0.26024386,1059310,hines interests lp,mortgage,100000.0
1.0,0.41132873,1055282,ibm,mortgage,123000.0
10.0,0.2335979,1060631,harvard asia center,rent,70000.0
10.0,0.28244278,1058486,central school district 301,mortgage,60000.0
10.0,0.28460798,1060427,cvs pharmacy,mortgage,150000.0
3.0,0.3260453,1060418,may advertising,rent,80000.0
1.0,0.20904621,1060605,gilchrist county property appraiser,rent,31000.0
8.0,0.21566889,1060597,vanderbuit mtg,mortgage,90000.0
10.0,0.22289434,1060600,hand surgery & rehabilitation center,rent,61600.0
10.0,0.4237399,1053763,"16th mp bde, u.s. army",mortgage,71316.0
10.0,0.18337652,1060581,miami herald media company,rent,42000.0
1.0,0.14575593,1060372,wheeler clinic,rent,34000.0
10.0,0.23230231,1060371,walmart,rent,36000.0
10.0,0.2529509,1060369,ford atlantic fastener corporation,rent,65000.0
10.0,0.20425509,1060365,pizza hut,rent,35000.0
1.0,0.17785832,1060086,rodney lough galleries,rent,50000.0
10.0,0.18223327,1058493,sumisho global logisitics,rent,62004.0
3.0,0.20773876,1059978,usps,rent,74000.0
10.0,0.26605412,1059252,,mortgage,42000.0
10.0,0.17206404,1060167,photonics industries intl,own,48000.0
3.0,0.23091531,1059974,cox communications,rent,65000.0
2.0,0.3486587,1060046,washington state university,rent,15360.0
10.0,0.2934486,1060030,liberty mutual ins,mortgage,61000.0
1.0,0.20541996,1059948,buddy media,rent,83000.0
10.0,0.20560314,1060036,valleycare health system,mortgage,120000.0
1.0,0.20812018,1055631,power nissan chandler,rent,106000.0
10.0,0.20352894,1060019,gap inc,rent,42000.0
1.0,0.3116007,1053454,apria healthcare,mortgage,30000.0
10.0,0.24004339,1059930,sea world san antonio,rent,32000.0
1.0,0.23870765,1060004,rchn,rent,72100.0
10.0,0.22451116,1060015,fch enterpise,rent,58000.0
3.0,0.1890484,1059936,oec freight,rent,40000.0
1.0,0.21349391,1059288,tory burch,rent,75000.0
1.0,0.15032329,1052230,belcan corp,rent,48880.0
2.0,0.23708718,1059996,town of douglas,rent,48000.0
10.0,0.13322948,1059887,tricities chaplaincy,mortgage,40000.0
7.0,0.34112725,1010310,vitacost.com,mortgage,110000.0
4.0,0.20677735,1059889,la costa resort and spa,mortgage,60000.0
10.0,0.22334139,1059736,smith & warren,rent,65000.0
10.0,0.27186206,1059870,arizona beverage llc,mortgage,50000.0
10.0,0.28172985,1059874,riverside county,rent,55000.0
10.0,0.15043299,1032863,"wells fargo insurance services usa, inc.",mortgage,63000.0
10.0,0.37636817,1054178,raytheon,mortgage,133224.0
4.0,0.14066528,1059843,inviting company,rent,35100.0
6.0,0.21187106,1057243,salisbury behavioral health inc.,rent,38000.0
6.0,0.16818745,1059785,braemac ca,rent,38000.0
3.0,0.2138121,1059698,uc davis,rent,41000.0
10.0,0.21822758,1059704,hoffman building technologies,mortgage,108000.0
10.0,0.2453525,1059801,state of maryland,rent,43000.0
4.0,0.18247335,1059605,action trucking,rent,45000.0
1.0,0.2543509,1058085,aarons sales and lease,rent,23000.0
10.0,0.16345236,1059157,city of excelsior springs,mortgage,47532.0
1.0,0.37186542,1059627,salon evamichelle,rent,26000.0
1.0,0.24449226,1023566,actelion pharmaceuticals us inc,mortgage,150000.0
10.0,0.2046949,1059657,city of tomah,rent,32000.0
3.0,0.2104134,1059639,aerotek scientific,rent,55000.0
4.0,0.20697202,1059571,"b drafting, inc.",rent,35000.0
3.0,0.24500638,1059623,self-employed,own,75000.0
5.0,0.29878575,1059629,texas health-presbyterian hospital,mortgage,74000.0
5.0,0.1972201,1057474,hayes intermediate school,mortgage,50000.0
1.0,0.2260741,1059603,bank of oklahoma,own,30000.0
1.0,0.28123415,1059522,coldwell banker residential brokerage,rent,37000.0
3.0,0.32481584,1059529,sony electronics,rent,105000.0
10.0,0.20401847,1059502,california department of public health,rent,42000.0
10.0,0.24027397,1058733,sharp memmorial hospital,own,80000.0
10.0,0.19945797,1059497,sandestin beach hilton,mortgage,35000.0
1.0,0.17338115,1059433,big five sporting goods,own,23000.0
7.0,0.23480538,1059469,sembower mikesell inc,rent,50000.0
10.0,0.21087644,1048973,usaf,rent,36000.0
10.0,0.15137555,1059444,hilton head automotive llc,mortgage,60000.0
1.0,0.19309357,1059311,jim hughes plumbing and heating,rent,40000.0
1.0,0.22060077,1059333,commerce lexington,rent,38200.0
10.0,0.20579018,1055994,citi cards,rent,37000.0
10.0,0.29551873,1059386,metro,rent,56000.0
1.0,0.15263364,1059289,action link,rent,38000.0
10.0,0.22064622,1058552,lpc,rent,43000.0
10.0,0.29803455,1059461,sparkpeople,mortgage,60000.0
3.0,0.20298253,1059312,motion point,rent,46000.0
10.0,0.2353943,1058031,charles scwab,mortgage,105000.0
1.0,0.3007078,1059447,pimco,rent,107000.0
4.0,0.29552376,1059319,ernst & young llp,mortgage,235000.0
4.0,0.15480952,1059274,dcp midstream,mortgage,70000.0
3.0,0.20349628,1059291,ideal housekeeping,rent,78000.0
1.0,0.26833203,1059280,camden clark medical center,rent,24000.0
4.0,0.15325575,1059284,morgan stanley,mortgage,51750.0
10.0,0.14061348,1059362,target logistics,mortgage,57600.0
1.0,0.30931944,1059262,u.s. house of representatives,rent,50000.0
1.0,0.18749851,1059409,rexnord industries,rent,55000.0
2.0,0.15704295,1057384,pierpont securities,rent,120000.0
10.0,0.281307,1058892,green choice living,own,108000.0
10.0,0.20635828,1059282,the bowery hotel,rent,40000.0
1.0,0.25180793,1052360,rml specialty hospital hinsdale,rent,97600.0
10.0,0.16721937,1059251,social security adminstration,mortgage,70800.0
3.0,0.1749349,1059227,houston isd,rent,45000.0
10.0,0.26448962,1059236,,rent,60000.0
3.0,0.24852286,1042427,i-sys corporation,mortgage,88000.0
10.0,0.40212032,1059210,john deere,mortgage,74000.0
1.0,0.19094402,1059174,department of homeland security,rent,91500.0
1.0,0.16403806,1057064,four seasons association,rent,42500.0
1.0,0.17420472,1059199,ledic management group,rent,45000.0
8.0,0.17745288,1048482,waste management,rent,75000.0
10.0,0.22897123,1058946,newark public schools,mortgage,103000.0
2.0,0.23681945,1059186,,rent,42000.0
10.0,0.23515344,1059120,nyc deparment of corrections,mortgage,90000.0
1.0,0.15521125,1050101,mit lincoln labs,mortgage,63000.0
10.0,0.36766714,1059128,,mortgage,25000.0
10.0,0.21448989,1058958,mandarin oriental hotel group,rent,35000.0
1.0,0.25501177,1032427,goodneighbor assisting living,rent,16000.0
10.0,0.27314758,1058956,,mortgage,53000.0
1.0,0.17567061,1058959,edge auto rental,rent,110000.0
4.0,0.1563183,1058952,havertys fyrniture,mortgage,69000.0
1.0,0.38440627,1055920,drivelines retail merchandiser,rent,16000.0
4.0,0.16956797,1059103,southrenmultyfood,mortgage,38400.0
10.0,0.16202658,1059046,mister sparky,mortgage,80000.0
6.0,0.22737828,1058943,healthcare plus corp.,rent,80952.0
3.0,0.1454904,1059100,rettew associates,own,65000.0
10.0,0.17005599,1058926,discovery shutters & shadings,rent,70000.0
7.0,0.39476925,1034052,,mortgage,175000.0
5.0,0.17695153,1057403,san gabriel transit inc,rent,34000.0
1.0,0.25722614,1058924,america's second harvest big bend,rent,35000.0
10.0,0.2056413,1058885,friedmans home improvement,rent,60000.0
10.0,0.22880845,1058877,allen clark ficial services llc,rent,35000.0
10.0,0.16004942,1059041,navigation solutions,own,35000.0
10.0,0.30875993,1059039,at&t,rent,60000.0
10.0,0.15728593,1059024,country villa health care novato,own,75000.0
1.0,0.2860587,1054453,passages hospice,mortgage,66000.0
1.0,0.16760816,1058814,"cydcor, inc.",rent,77000.0
3.0,0.20944232,1058830,self,mortgage,62000.0
10.0,0.24040717,1053112,sport durst millennium automotive group,mortgage,73000.0
8.0,0.20590721,1058317,first marblehead corporation,mortgage,130000.0
10.0,0.15756203,1058846,edgewater inn,mortgage,61000.0
1.0,0.1886729,1058824,coast learning systems,rent,90000.0
1.0,0.1523483,1058828,wells fargo,own,25000.0
2.0,0.24608213,1058831,orlando magic,rent,14400.0
6.0,0.2933769,1052449,pacific university,rent,70000.0
4.0,0.1947915,1058974,rolf jensen & associates,rent,82500.0
1.0,0.156168,1058734,dan mcguinness,rent,35000.0
10.0,0.25718307,1058209,harrison & star,rent,43200.0
1.0,0.35634887,1058749,tra,mortgage,125000.0
10.0,0.36094627,1058782,"a. cook associates, inc.",mortgage,80000.0
3.0,0.23815492,1056831,chesapeake energy,rent,87500.0
10.0,0.25199527,1054373,abunmdant life christian center,mortgage,22000.0
10.0,0.23182718,1058744,coastal glass,own,80000.0
1.0,0.23616098,1047572,unitedhealthcare student resources,mortgage,70000.0
10.0,0.32004842,1056011,,mortgage,17352.0
10.0,0.24720724,1058718,msa,rent,63208.0
2.0,0.26115438,1058792,,rent,48000.0
6.0,0.1742433,1058556,anchor towing and marine transport,mortgage,45500.0
4.0,0.17134152,1058407,american public university,mortgage,48000.0
1.0,0.36643523,1029236,rush warehouse,rent,19200.0
4.0,0.16820666,1058698,yale university,rent,68000.0
3.0,0.18315333,1058696,amalgamated general agency,own,35000.0
10.0,0.48876783,1058411,u.s. air force,mortgage,63000.0
1.0,0.32070416,1058515,oceanaire seafood room,rent,29406.0
1.0,0.23265351,1058110,walmart,rent,26004.0
1.0,0.32736906,1058519,gypsy 05 inc,rent,120000.0
10.0,0.29677898,1058494,lands' end,mortgage,110000.0
10.0,0.22639035,1058634,rite aid,rent,34000.0
10.0,0.29061082,1058483,valcom/necc,rent,26500.0
6.0,0.2023658,1055678,easy eddies,rent,40000.0
10.0,0.2296728,1058484,ohio state university,mortgage,88800.0
1.0,0.18479642,1058615,main street radiology,rent,100000.0
3.0,0.19060752,1058603,icon parking,rent,45000.0
1.0,0.20096539,1058625,del friscos,rent,85000.0
1.0,0.18035027,1058468,coldwell banker pacific properties,rent,36000.0
10.0,0.24937344,1058440,eli's bread,rent,80000.0
10.0,0.26282188,1058451,"dr. robert hood, dds",rent,50000.0
10.0,0.2140084,1058596,rathgibson,rent,75000.0
8.0,0.2132603,1058578,university of phoenix,mortgage,105000.0
10.0,0.18232247,1058423,state of calif.in-home suportive service,rent,45408.0
10.0,0.19074811,1057201,control air,mortgage,72000.0
3.0,0.2497899,1058396,investor's business daily,rent,67500.0
10.0,0.25282356,1046641,thinc systems inc,rent,60000.0
1.0,0.17980544,1053982,verity resins llc,mortgage,65000.0
10.0,0.19885421,1058372,rg steel,rent,55000.0
10.0,0.32157472,1051228,,own,34848.0
1.0,0.17701644,1058368,bluecoat systems,rent,48000.0
10.0,0.1975435,1058155,lsr,mortgage,55000.0
10.0,0.17700544,1057701,paragon honda,rent,65000.0
10.0,0.2717252,1058301,nsabp foundation inc,mortgage,55000.0
3.0,0.20318025,1058237,opportunity international,mortgage,75000.0
1.0,0.2690416,1058309,roswell,rent,30000.0
1.0,0.31942788,1058318,wyoming valley hospital,rent,30000.0
2.0,0.35759577,1058381,bensamochan and poghosyan,rent,160000.0
